# Seconds of Week            X-ECEF            Y-ECEF            Z-ECEF        VX        VY        VZ     Pitch      Roll       Yaw      GyroBiasX      GyroBiasY      GyroBiasZ      AcceBiasX      AcceBiasY      AcceBiasZ         
#             (s)               (m)               (m)               (m)     (m/s)     (m/s)     (m/s)     (deg)     (deg)     (deg)        (deg/h)        (deg/h)        (deg/h)           (mg)           (mg)           (mg)
     358524.202500      -2267408.439       5008839.816       3222008.340    -0.002     0.000     0.001    0.4971    0.7285   35.9586         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
     358524.302500      -2267408.440       5008839.816       3222008.340    -0.002     0.001     0.001    0.4955    0.7322   35.9578         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
     358524.402500      -2267408.440       5008839.816       3222008.340     0.002     0.001     0.003    0.4969    0.7304   35.9561         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
     358524.502500      -2267408.439       5008839.816       3222008.340     0.002     0.001     0.003    0.4960    0.7254   35.9592         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
     358524.602500      -2267408.439       5008839.817       3222008.340    -0.002     0.002     0.001    0.4962    0.7243   35.9584         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
     358524.702500      -2267408.440       5008839.817       3222008.340    -0.003     0.001     0.001    0.4970    0.7289   35.9558         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
     358524.802500      -2267408.440       5008839.817       3222008.341    -0.002     0.000     0.001    0.4958    0.7324   35.9587         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
     358524.902500      -2267408.440       5008839.817       3222008.341     0.000     0.002     0.002    0.4974    0.7321   35.9601         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
     358525.002500      -2267408.444       5008839.822       3222008.344    -0.001     0.002     0.003    0.4982    0.7304   35.9592         0.0455         0.6293        -0.0350        -0.0210         0.0146         1.5910
     358525.102500      -2267408.444       5008839.822       3222008.344    -0.007     0.001     0.001    0.4951    0.7359   35.9611         0.0455         0.6293        -0.0350        -0.0210         0.0146         1.5910
     358525.202500      -2267408.445       5008839.822       3222008.344    -0.005     0.002    -0.001    0.4948    0.7476   35.9591         0.0455         0.6293        -0.0351        -0.0210         0.0146         1.5910
     358525.302500      -2267408.445       5008839.822       3222008.344     0.003     0.001     0.004    0.4937    0.7464   35.9582         0.0454         0.6292        -0.0298        -0.0210         0.0146         1.5910
     358525.402500      -2267408.444       5008839.822       3222008.344     0.004     0.002     0.004    0.4953    0.7322   35.9591         0.0454         0.6292        -0.0298        -0.0210         0.0146         1.5910
     358525.502500      -2267408.444       5008839.823       3222008.345    -0.001     0.003     0.000    0.4993    0.7242   35.9596         0.0454         0.6292        -0.0298        -0.0210         0.0146         1.5910
     358525.602500      -2267408.445       5008839.823       3222008.344    -0.006     0.003    -0.003    0.4988    0.7291   35.9580         0.0454         0.6292        -0.0298        -0.0210         0.0146         1.5910
     358525.702500      -2267408.445       5008839.823       3222008.344    -0.007     0.004    -0.002    0.4989    0.7419   35.9584         0.0454         0.6292        -0.0298        -0.0210         0.0146         1.5910
